Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density;Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Agorithm
0;896;1;0;0;0;1736;0;56;0;0;0;0;1605632;802816;0;448;448;1;16;16;1;1;144,667;74,667;5,78;25,25;29,41;1
0;1024;1;0;0;0;1984;0;64;0;0;0;0;2097152;1048576;0;512;512;1;16;16;1;1;165,333;85,333;7,51;35,61;43,94;1
0;1152;1;0;0;0;2232;0;72;0;0;0;0;2654208;1327104;0;576;576;1;16;16;1;1;186,000;96,000;10,70;48,34;61,08;1
0;1280;1;0;0;0;2480;0;80;0;0;0;0;3276800;1638400;0;640;640;1;16;16;1;1;206,667;106,667;14,43;64,34;82,73;1
0;1408;1;0;0;0;2728;0;88;0;0;0;0;3964928;1982464;0;704;704;1;16;16;1;1;227,333;117,333;17,48;83,65;109,93;1
0;1536;1;0;0;0;2976;0;96;0;0;0;0;4718592;2359296;0;768;768;1;16;16;1;1;248,000;128,000;9,30;106,68;141,00;1
0;1664;1;0;0;0;3224;0;104;0;0;0;0;5537792;2768896;0;832;832;1;16;16;1;1;268,667;138,667;10,92;133,58;178,53;1
0;1792;1;0;0;0;3472;0;112;0;0;0;0;6422528;3211264;0;896;896;1;16;16;1;1;289,333;149,333;12,87;165,41;221,64;1
0;1920;1;0;0;0;3720;0;120;0;0;0;0;7372800;3686400;0;960;960;1;16;16;1;1;310,000;160,000;16,13;201,48;272,31;1
0;2048;1;0;0;0;3968;0;128;0;0;0;0;8388608;4194304;0;1024;1024;1;16;16;1;1;330,667;170,667;26,54;243,69;340,92;1
0;2176;1;0;0;0;4216;0;136;0;0;0;0;9469952;4734976;0;1088;1088;1;16;16;1;1;351,333;181,333;22,00;290,74;395,67;1
0;2304;1;0;0;0;4464;0;144;0;0;0;0;10616832;5308416;0;1152;1152;1;16;16;1;1;372,000;192,000;25,99;343,81;469,23;1
0;2432;1;0;0;0;4712;0;152;0;0;0;0;11829248;5914624;0;1216;1216;1;16;16;1;1;392,667;202,667;28,00;402,38;552,67;1
0;2560;1;0;0;0;4960;0;160;0;0;0;0;13107200;6553600;0;1280;1280;1;16;16;1;1;413,333;213,333;35,20;469,20;645,34;1
0;2688;1;0;0;0;5208;0;168;0;0;0;0;14450688;7225344;0;1344;1344;1;16;16;1;1;434,000;224,000;36,29;541,51;746,73;1
0;2816;1;0;0;0;5456;0;176;0;0;0;0;15859712;7929856;0;1408;1408;1;16;16;1;1;454,667;234,667;44,04;621,37;860,65;1
0;2944;1;0;0;0;5704;0;184;0;0;0;0;17334272;8667136;0;1472;1472;1;16;16;1;1;475,333;245,333;46,43;708,78;982,29;1
0;3072;1;0;0;0;5952;0;192;0;0;0;0;18874368;9437184;0;1536;1536;1;16;16;1;1;496,000;256,000;81,41;805,34;1125,42;1
0;3200;1;0;0;0;6200;0;200;0;0;0;0;20480000;10240000;0;1600;1600;1;16;16;1;1;516,667;266,667;57,77;908,91;1263,74;1
0;3328;1;0;0;0;6448;0;208;0;0;0;0;22151168;11075584;0;1664;1664;1;16;16;1;1;537,333;277,333;69,43;1022,26;1423,57;1
0;3456;1;0;0;0;6696;0;216;0;0;0;0;23887872;11943936;0;1728;1728;1;16;16;1;1;558,000;288,000;74,05;1142,98;1592,12;1
0;3584;1;0;0;0;6944;0;224;0;0;0;0;25690112;12845056;0;1792;1792;1;16;16;1;1;578,667;298,667;93,97;1274,54;1779,58;1
0;3712;1;0;0;0;7192;0;232;0;0;0;0;27557888;13778944;0;1856;1856;1;16;16;1;1;599,333;309,333;89,95;1414,39;1974,51;1
0;3840;1;0;0;0;7440;0;240;0;0;0;0;29491200;14745600;0;1920;1920;1;16;16;1;1;620,000;320,000;102,50;1566,89;2197,16;1
0;3968;1;0;0;0;7688;0;248;0;0;0;0;31490048;15745024;0;1984;1984;1;16;16;1;1;640,667;330,667;107,94;1726,32;2421,57;1
0;4096;1;0;0;0;7936;0;256;0;0;0;0;33554432;16777216;0;2048;2048;1;16;16;1;1;661,333;341,333;161,27;1902,58;3075,71;1
0;8;1;128;8;0;213;0;0;0;0;0;0;32768;16384;2048;64;64;1;16;16;1;1;17,750;0,667;2,37;2,46;3,21;2
0;16;1;256;16;0;421;0;0;0;0;0;0;131072;65536;2048;128;128;1;16;16;1;1;35,083;1,333;2,63;2,42;5,09;2
0;24;1;384;24;0;629;0;0;0;0;0;0;294912;147456;2048;192;192;1;16;16;1;1;52,417;2,000;2,34;2,36;12,08;2
0;32;1;512;32;0;837;0;0;0;0;0;0;524288;262144;2048;256;256;1;16;16;1;1;69,750;2,667;2,66;3,15;24,90;2
0;40;1;640;40;0;1045;0;0;0;0;0;0;819200;409600;2048;320;320;1;16;16;1;1;87,083;3,333;3,02;4,06;40,77;2
0;48;1;768;48;0;1253;0;0;0;0;0;0;1179648;589824;2048;384;384;1;16;16;1;1;104,417;4,000;3,25;4,55;78,69;2
0;56;1;896;56;0;1461;0;0;0;0;0;0;1605632;802816;2048;448;448;1;16;16;1;1;121,750;4,667;3,54;6,10;110,79;2
0;64;1;1024;64;0;1669;0;0;0;0;0;0;2097152;1048576;2048;512;512;1;16;16;1;1;139,083;5,333;3,83;8,11;175,38;2
0;72;1;1152;72;0;1877;0;0;0;0;0;0;2654208;1327104;2048;576;576;1;16;16;1;1;156,417;6,000;4,29;11,47;238,99;2
0;80;1;1280;80;0;2085;0;0;0;0;0;0;3276800;1638400;2048;640;640;1;16;16;1;1;173,750;6,667;5,24;14,63;327,50;2
0;88;1;1408;88;0;2293;0;0;0;0;0;0;3964928;1982464;2048;704;704;1;16;16;1;1;191,083;7,333;5,67;18,53;437,35;2
0;96;1;1536;96;0;2501;0;0;0;0;0;0;4718592;2359296;2048;768;768;1;16;16;1;1;208,417;8,000;6,49;22,42;564,43;2
0;104;1;1664;104;0;2709;0;0;0;0;0;0;5537792;2768896;2048;832;832;1;16;16;1;1;225,750;8,667;7,43;26,97;720,00;2
0;112;1;1792;112;0;2917;0;0;0;0;0;0;6422528;3211264;2048;896;896;1;16;16;1;1;243,083;9,333;9,08;33,06;897,44;2
0;120;1;1920;120;0;3125;0;0;0;0;0;0;7372800;3686400;2048;960;960;1;16;16;1;1;260,417;10,000;10,07;39,32;1104,95;2
0;128;1;2048;128;0;3333;0;0;0;0;0;0;8388608;4194304;2048;1024;1024;1;16;16;1;1;277,750;10,667;12,98;45,73;1339,12;2
0;136;1;2176;136;0;3541;0;0;0;0;0;0;9469952;4734976;2048;1088;1088;1;16;16;1;1;295,083;11,333;15,31;53,89;1613,19;2
0;144;1;2304;144;0;3749;0;0;0;0;0;0;10616832;5308416;2048;1152;1152;1;16;16;1;1;312,417;12,000;17,61;63,36;1912,44;2
0;152;1;2432;152;0;3957;0;0;0;0;0;0;11829248;5914624;2048;1216;1216;1;16;16;1;1;329,750;12,667;8,47;73,31;2331,92;2
0;160;1;2560;160;0;4165;0;0;0;0;0;0;13107200;6553600;2048;1280;1280;1;16;16;1;1;347,083;13,333;9,89;84,14;2713,91;2
0;168;1;2688;168;0;4373;0;0;0;0;0;0;14450688;7225344;2048;1344;1344;1;16;16;1;1;364,417;14,000;10,57;97,05;3138,74;2
0;176;1;2816;176;0;4581;0;0;0;0;0;0;15859712;7929856;2048;1408;1408;1;16;16;1;1;381,750;14,667;11,48;110,21;3579,91;2
0;184;1;2944;184;0;4789;0;0;0;0;0;0;17334272;8667136;2048;1472;1472;1;16;16;1;1;399,083;15,333;13,00;124,78;4183,34;2
0;192;1;3072;192;0;4997;0;0;0;0;0;0;18874368;9437184;2048;1536;1536;1;16;16;1;1;416,417;16,000;14,50;140,26;4660,15;2
0;200;1;3200;200;0;5205;0;0;0;0;0;0;20480000;10240000;2048;1600;1600;1;16;16;1;1;433,750;16,667;16,83;157,77;5397,34;2
0;208;1;3328;208;0;5413;0;0;0;0;0;0;22151168;11075584;2048;1664;1664;1;16;16;1;1;451,083;17,333;21,19;176,87;6028,11;2
0;216;1;3456;216;0;5621;0;0;0;0;0;0;23887872;11943936;2048;1728;1728;1;16;16;1;1;468,417;18,000;23,00;197,28;6795,14;2
0;224;1;3584;224;0;5829;0;0;0;0;0;0;25690112;12845056;2048;1792;1792;1;16;16;1;1;485,750;18,667;26,78;218,43;7544,98;2
0;232;1;3712;232;0;6037;0;0;0;0;0;0;27557888;13778944;2048;1856;1856;1;16;16;1;1;503,083;19,333;28,15;242,37;8469,29;2
0;240;1;3840;240;0;6245;0;0;0;0;0;0;29491200;14745600;2048;1920;1920;1;16;16;1;1;520,417;20,000;31,67;267,12;9283,83;2
0;248;1;3968;248;0;6453;0;0;0;0;0;0;31490048;15745024;2048;1984;1984;1;16;16;1;1;537,750;20,667;32,92;294,41;10300,45;2
0;256;1;4096;256;0;6661;0;0;0;0;0;0;33554432;16777216;2048;2048;2048;1;16;16;1;1;555,083;21,333;40,31;322,99;11273,93;2
0;9;1;0;0;9;62;0;0;0;0;0;0;17460;16384;0;64;64;1;16;16;1;1;7,504;1,089;3,27;3,66;3,67;3
0;9;1;0;0;9;62;0;0;0;0;0;0;67636;65536;0;128;128;1;16;16;1;1;7,628;1,107;4,65;3,99;3,61;3
0;9;1;0;0;9;62;0;0;0;0;0;0;150580;147456;0;192;192;1;16;16;1;1;7,669;1,113;4,41;3,92;3,52;3
0;9;1;0;0;9;62;0;0;0;0;0;0;266292;262144;0;256;256;1;16;16;1;1;7,689;1,116;4,16;3,69;3,39;3
0;9;1;0;0;9;62;0;0;0;0;0;0;414772;409600;0;320;320;1;16;16;1;1;7,701;1,118;4,23;4,36;4,33;3
0;9;1;0;0;9;62;0;0;0;0;0;0;596020;589824;0;384;384;1;16;16;1;1;7,710;1,119;4,35;4,80;4,24;3
0;9;1;0;0;9;62;0;0;0;0;0;0;810036;802816;0;448;448;1;16;16;1;1;7,715;1,120;4,11;3,87;4,35;3
0;9;1;0;0;9;62;0;0;0;0;0;0;1056820;1048576;0;512;512;1;16;16;1;1;7,720;1,121;4,46;4,18;4,40;3
0;9;1;0;0;9;62;0;0;0;0;0;0;1336372;1327104;0;576;576;1;16;16;1;1;7,723;1,121;4,84;5,05;5,66;3
0;9;1;0;0;9;62;0;0;0;0;0;0;1648692;1638400;0;640;640;1;16;16;1;1;7,726;1,121;5,71;5,03;5,99;3
0;9;1;0;0;9;62;0;0;0;0;0;0;1993780;1982464;0;704;704;1;16;16;1;1;7,728;1,122;5,20;5,15;6,20;3
0;9;1;0;0;9;62;0;0;0;0;0;0;2371636;2359296;0;768;768;1;16;16;1;1;7,730;1,122;5,84;5,72;6,41;3
0;9;1;0;0;9;62;0;0;0;0;0;0;2782260;2768896;0;832;832;1;16;16;1;1;7,731;1,122;5,70;5,87;6,69;3
0;9;1;0;0;9;62;0;0;0;0;0;0;3225652;3211264;0;896;896;1;16;16;1;1;7,733;1,122;6,31;6,71;7,60;3
0;9;1;0;0;9;62;0;0;0;0;0;0;3701812;3686400;0;960;960;1;16;16;1;1;7,734;1,123;6,77;6,58;8,53;3
0;9;1;0;0;9;62;0;0;0;0;0;0;4210740;4194304;0;1024;1024;1;16;16;1;1;7,735;1,123;7,25;7,06;9,57;3
0;9;1;0;0;9;62;0;0;0;0;0;0;4752436;4734976;0;1088;1088;1;16;16;1;1;7,736;1,123;7,63;7,21;10,14;3
0;9;1;0;0;9;62;0;0;0;0;0;0;5326900;5308416;0;1152;1152;1;16;16;1;1;7,737;1,123;8,23;7,28;10,11;3
0;9;1;0;0;9;62;0;0;0;0;0;0;5934132;5914624;0;1216;1216;1;16;16;1;1;7,737;1,123;8,29;7,42;10,88;3
0;9;1;0;0;9;62;0;0;0;0;0;0;6574132;6553600;0;1280;1280;1;16;16;1;1;7,738;1,123;9,18;7,75;11,49;3
0;9;1;0;0;9;62;0;0;0;0;0;0;7246900;7225344;0;1344;1344;1;16;16;1;1;7,738;1,123;10,11;8,82;13,54;3
0;9;1;0;0;9;62;0;0;0;0;0;0;7952436;7929856;0;1408;1408;1;16;16;1;1;7,739;1,123;10,00;8,75;13,57;3
0;9;1;0;0;9;62;0;0;0;0;0;0;8690740;8667136;0;1472;1472;1;16;16;1;1;7,739;1,123;10,43;9,32;15,22;3
0;9;1;0;0;9;62;0;0;0;0;0;0;9461812;9437184;0;1536;1536;1;16;16;1;1;7,740;1,124;11,82;9,91;15,16;3
0;9;1;0;0;9;62;0;0;0;0;0;0;10265652;10240000;0;1600;1600;1;16;16;1;1;7,740;1,124;12,03;10,28;16,99;3
0;9;1;0;0;9;62;0;0;0;0;0;0;11102260;11075584;0;1664;1664;1;16;16;1;1;7,741;1,124;12,69;11,23;18,81;3
0;9;1;0;0;9;62;0;0;0;0;0;0;11971636;11943936;0;1728;1728;1;16;16;1;1;7,741;1,124;13,77;11,73;19,78;3
0;9;1;0;0;9;62;0;0;0;0;0;0;12873780;12845056;0;1792;1792;1;16;16;1;1;7,741;1,124;15,06;12,41;19,53;3
0;9;1;0;0;9;62;0;0;0;0;0;0;13808692;13778944;0;1856;1856;1;16;16;1;1;7,742;1,124;15,24;12,94;20,12;3
0;9;1;0;0;9;62;0;0;0;0;0;0;14776372;14745600;0;1920;1920;1;16;16;1;1;7,742;1,124;16,27;12,99;22,40;3
0;9;1;0;0;9;62;0;0;0;0;0;0;15776820;15745024;0;1984;1984;1;16;16;1;1;7,742;1,124;17,73;13,30;23,23;3
0;9;1;0;0;9;62;0;0;0;0;0;0;16810036;16777216;0;2048;2048;1;16;16;1;1;7,742;1,124;18,72;14,80;24,46;3
0;25;1;0;0;25;152;0;0;0;0;0;0;18596;16384;0;64;64;1;16;16;1;1;17,799;2,927;3,35;4,25;2,87;3
0;25;1;0;0;25;152;0;0;0;0;0;0;69796;65536;0;128;128;1;16;16;1;1;18,402;3,027;3,43;4,17;4,12;3
0;25;1;0;0;25;152;0;0;0;0;0;0;153764;147456;0;192;192;1;16;16;1;1;18,602;3,060;3,80;4,49;3,33;3
0;25;1;0;0;25;152;0;0;0;0;0;0;270500;262144;0;256;256;1;16;16;1;1;18,702;3,076;3,86;4,17;3,61;3
0;25;1;0;0;25;152;0;0;0;0;0;0;420004;409600;0;320;320;1;16;16;1;1;18,762;3,086;4,00;4,03;4,88;3
0;25;1;0;0;25;152;0;0;0;0;0;0;602276;589824;0;384;384;1;16;16;1;1;18,802;3,092;4,00;4,20;4,84;3
0;25;1;0;0;25;152;0;0;0;0;0;0;817316;802816;0;448;448;1;16;16;1;1;18,830;3,097;4,49;4,57;5,65;3
0;25;1;0;0;25;152;0;0;0;0;0;0;1065124;1048576;0;512;512;1;16;16;1;1;18,851;3,101;4,42;5,10;7,01;3
0;25;1;0;0;25;152;0;0;0;0;0;0;1345700;1327104;0;576;576;1;16;16;1;1;18,868;3,103;6,23;5,17;5,91;3
0;25;1;0;0;25;152;0;0;0;0;0;0;1659044;1638400;0;640;640;1;16;16;1;1;18,881;3,105;5,00;5,39;7,26;3
0;25;1;0;0;25;152;0;0;0;0;0;0;2005156;1982464;0;704;704;1;16;16;1;1;18,892;3,107;5,48;5,68;8,31;3
0;25;1;0;0;25;152;0;0;0;0;0;0;2384036;2359296;0;768;768;1;16;16;1;1;18,901;3,109;5,50;5,69;8,26;3
0;25;1;0;0;25;152;0;0;0;0;0;0;2795684;2768896;0;832;832;1;16;16;1;1;18,909;3,110;6,10;6,06;9,32;3
0;25;1;0;0;25;152;0;0;0;0;0;0;3240100;3211264;0;896;896;1;16;16;1;1;18,915;3,111;6,20;6,43;10,76;3
0;25;1;0;0;25;152;0;0;0;0;0;0;3717284;3686400;0;960;960;1;16;16;1;1;18,921;3,112;7,50;7,43;10,87;3
0;25;1;0;0;25;152;0;0;0;0;0;0;4227236;4194304;0;1024;1024;1;16;16;1;1;18,926;3,113;7,28;6,73;11,89;3
0;25;1;0;0;25;152;0;0;0;0;0;0;4769956;4734976;0;1088;1088;1;16;16;1;1;18,930;3,113;7,69;7,11;13,78;3
0;25;1;0;0;25;152;0;0;0;0;0;0;5345444;5308416;0;1152;1152;1;16;16;1;1;18,934;3,114;8,08;8,16;14,48;3
0;25;1;0;0;25;152;0;0;0;0;0;0;5953700;5914624;0;1216;1216;1;16;16;1;1;18,937;3,115;8,54;7,45;15,19;3
0;25;1;0;0;25;152;0;0;0;0;0;0;6594724;6553600;0;1280;1280;1;16;16;1;1;18,941;3,115;8,88;8,46;17,23;3
0;25;1;0;0;25;152;0;0;0;0;0;0;7268516;7225344;0;1344;1344;1;16;16;1;1;18,943;3,116;8,60;8,20;17,84;3
0;25;1;0;0;25;152;0;0;0;0;0;0;7975076;7929856;0;1408;1408;1;16;16;1;1;18,946;3,116;9,67;9,21;21,21;3
0;25;1;0;0;25;152;0;0;0;0;0;0;8714404;8667136;0;1472;1472;1;16;16;1;;18,948;3,117;10,16;10,04;22,04;3
0;25;1;0;0;25;152;0;0;0;0;0;0;9486500;9437184;0;1536;1536;1;16;16;1;;18,950;3,117;11,82;9,73;24,46;3
0;25;1;0;0;25;152;0;0;0;0;0;0;10291364;10240000;0;1600;1600;1;16;16;1;;18,952;3,117;11,76;10,10;25,16;3
0;25;1;0;0;25;152;0;0;0;0;0;0;11128996;11075584;0;1664;1664;1;16;16;1;;18,954;3,117;12,50;11,28;25,88;3
0;25;1;0;0;25;152;0;0;0;0;0;0;11999396;11943936;0;1728;1728;1;16;16;1;;18,956;3,118;12,60;11,69;26,86;3
0;25;1;0;0;25;152;0;0;0;0;0;0;12902564;12845056;0;1792;1792;1;16;16;1;;18,958;3,118;14,39;12,31;29,42;3
0;25;1;0;0;25;152;0;0;0;0;0;0;13838500;13778944;0;1856;1856;1;16;16;1;;18,959;3,118;13,63;12,90;31,94;3
0;25;1;0;0;25;152;0;0;0;0;0;0;14807204;14745600;0;1920;1920;1;16;16;1;;18,960;3,118;14,89;13,29;34,24;3
0;25;1;0;0;25;152;0;0;0;0;0;0;15808676;15745024;0;1984;1984;1;16;16;1;;18,962;3,119;15,61;14,74;35,02;3
0;25;1;0;0;25;152;0;0;0;0;0;0;16842916;16777216;0;2048;2048;1;16;16;1;;18,963;3,119;19,09;14,94;40,94;3
0;49;1;0;0;49;282;0;0;0;0;0;0;19796;16384;0;64;64;1;16;16;1;;31,926;5,547;3,41;3,83;3,25;3
0;49;1;0;0;49;282;0;0;0;0;0;0;72020;65536;0;128;128;1;16;16;1;;33,588;5,836;4,46;3,62;3,70;3
0;49;1;0;0;49;282;0;0;0;0;0;0;157012;147456;0;192;192;1;16;16;1;;34,144;5,933;4,12;4,73;3,69;3
0;49;1;0;0;49;282;0;0;0;0;0;0;274772;262144;0;256;256;1;16;16;1;;34,421;5,981;3,77;3,99;4,83;3
0;49;1;0;0;49;282;0;0;0;0;0;0;425300;409600;0;320;320;1;16;16;1;;34,587;6,010;4,46;4,19;5,05;3
0;49;1;0;0;49;282;0;0;0;0;0;0;608596;589824;0;384;384;1;16;16;1;;34,698;6,029;4,72;5,02;6,19;3
0;49;1;0;0;49;282;0;0;0;0;0;0;824660;802816;0;448;448;1;16;16;1;;34,777;6,043;5,13;4,97;7,59;3
0;49;1;0;0;49;282;0;0;0;0;0;0;1073492;1048576;0;512;512;1;16;16;1;;34,836;6,053;4,44;5,56;7,18;3
0;49;1;0;0;49;282;0;0;0;0;0;0;1355092;1327104;0;576;576;1;16;16;1;;34,882;6,061;4,95;5,39;8,43;3
0;49;1;0;0;49;282;0;0;0;0;0;0;1669460;1638400;0;640;640;1;16;16;1;;34,919;6,067;4,93;5,57;10,12;3
0;49;1;0;0;49;282;0;0;0;0;0;0;2016596;1982464;0;704;704;1;16;16;1;;34,949;6,073;5,17;6,21;10,89;3
0;49;1;0;0;49;282;0;0;0;0;0;0;2396500;2359296;0;768;768;1;16;16;1;;34,974;6,077;5,96;6,62;13,16;3
0;49;1;0;0;49;282;0;0;0;0;0;0;2809172;2768896;0;832;832;1;16;16;1;;34,995;6,081;6,08;6,54;13,37;3
0;49;1;0;0;49;282;0;0;0;0;0;0;3254612;3211264;0;896;896;1;16;16;1;;35,014;6,084;6,30;6,80;15,77;3
0;49;1;0;0;49;282;0;0;0;0;0;0;3732820;3686400;0;960;960;1;16;16;1;;35,029;6,087;6,45;7,27;17,83;3
0;49;1;0;0;49;282;0;0;0;0;0;0;4243796;4194304;0;1024;1024;1;16;16;1;;35,043;6,089;6,73;8,14;20,32;3
0;49;1;0;0;49;282;0;0;0;0;0;0;4787540;4734976;0;1088;1088;1;16;16;1;;35,055;6,091;7,44;7,96;20,59;3
0;49;1;0;0;49;282;0;0;0;0;0;0;5364052;5308416;0;1152;1152;1;16;16;1;;35,066;6,093;7,79;8,41;21,93;3
0;49;1;0;0;49;282;0;0;0;0;0;0;5973332;5914624;0;1216;1216;1;16;16;1;;35,076;6,095;8,08;9,56;26,48;3
0;49;1;0;0;49;282;0;0;0;0;0;0;6615380;6553600;0;1280;1280;1;16;16;1;;35,085;6,096;9,34;10,20;26,68;3
0;49;1;0;0;49;282;0;0;0;0;0;0;7290196;7225344;0;1344;1344;1;16;16;1;;35,093;6,098;9,27;10,45;30,07;3
0;49;1;0;0;49;282;0;0;0;0;0;0;7997780;7929856;0;1408;1408;1;16;16;1;;35,100;6,099;9,66;10,40;33,21;3
0;49;1;0;0;49;282;0;0;0;0;0;0;8738132;8667136;0;1472;1472;1;16;16;1;;35,106;6,100;10,44;11,01;36,08;3
0;49;1;0;0;49;282;0;0;0;0;0;0;9511252;9437184;0;1536;1536;1;16;16;1;;35,112;6,101;10,45;11,68;37,10;3
0;49;1;0;0;49;282;0;0;0;0;0;0;10317140;10240000;0;1600;1600;1;16;16;1;;35,118;6,102;11,29;13,02;39,87;3
0;49;1;0;0;49;282;0;0;0;0;0;0;11155796;11075584;0;1664;1664;1;16;16;1;;35,123;6,103;11,53;13,50;43,77;3
0;49;1;0;0;49;282;0;0;0;0;0;0;12027220;11943936;0;1728;1728;1;16;16;1;;35,128;6,104;12,09;14,18;46,37;3
0;49;1;0;0;49;282;0;0;0;0;0;0;12931412;12845056;0;1792;1792;1;16;16;1;;35,132;6,104;13,40;15,07;51,39;3
0;49;1;0;0;49;282;0;0;0;0;0;0;13868372;13778944;0;1856;1856;1;16;16;1;;35,136;6,105;13,85;15,47;54,06;3
0;49;1;0;0;49;282;0;0;0;0;0;0;14838100;14745600;0;1920;1920;1;16;16;1;;35,140;6,106;14,09;16,56;58,14;3
0;49;1;0;0;49;282;0;0;0;0;0;0;15840596;15745024;0;1984;1984;1;16;16;1;;35,143;6,106;14,90;18,03;60,74;3
0;49;1;0;0;49;282;0;0;0;0;0;0;16875860;16777216;0;2048;2048;1;16;16;1;;35,147;6,107;16,00;18,10;65,93;3
0;81;1;0;0;81;452;0;0;0;0;0;0;21060;16384;0;64;64;1;16;16;1;;49,444;8,861;4,00;4,32;3,27;3
0;81;1;0;0;81;452;0;0;0;0;0;0;74308;65536;0;128;128;1;16;16;1;;52,956;9,490;3,13;4,00;4,15;3
0;81;1;0;0;81;452;0;0;0;0;0;0;160324;147456;0;192;192;1;16;16;1;;54,138;9,702;3,78;4,52;4,53;3
0;81;1;0;0;81;452;0;0;0;0;0;0;279108;262144;0;256;256;1;16;16;1;;54,729;9,808;3,98;4,73;5,93;3
0;81;1;0;0;81;452;0;0;0;0;0;0;430660;409600;0;320;320;1;16;16;1;;55,084;9,871;4,66;4,45;5,96;3
0;81;1;0;0;81;452;0;0;0;0;0;0;614980;589824;0;384;384;1;16;16;1;;55,320;9,914;4,76;5,34;7,02;3
